File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ListinoCriteria.java,51,28,21,3,11,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ListinoDAO.java,348,304,210,70,32,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ListinoDetachedCriteria.java,48,26,20,3,10,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\ORMConstants.java,32,10,9,0,10,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\Preventivo.java,154,97,68,13,42,0,15,64,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\PreventivoCriteria.java,73,48,39,5,13,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\PreventivoDAO.java,315,273,188,63,30,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\PreventivoDetachedCriteria.java,77,53,45,5,12,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\Travi.java,35,15,10,2,8,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\TraviCriteria.java,59,36,29,3,11,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\TraviDAO.java,348,302,208,70,34,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\PersistentModel\TraviDetachedCriteria.java,60,38,32,3,10,0,12,55,12,55
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\Coedil99View.java,418,302,262,9,91,0,25,42,0,0
C:\Users\Marco Taraborrelli\workspace\Coedil99\src\coedil99\ui\OpenClientiView.java,201,158,129,3,40,0,3,3,0,0
